platform,text,likes,comments,shares,views,date,text_clean,is_fashion,language,text_sentiment,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,fashion_category,trend_score,engagement_score
Instagram,"Summer top collection.
DM to order

#summertopscollection #fashionnepal #summerclothingstore",3,0,0,0,2026-04-23 14:01:02+00:00,Summer top collection. DM to order #summertopscollection #fashionnepal #summerclothingstore,True,English,Summer top collection. DM to order summertopscollection fashionnepal summerclothingstore,0.0,0.816,0.184,0.2023,Positive,Western/Casual,0.4001,1.2000000000000002
Instagram,"Visit www.codexalphacollection.com
Stylish sneaker at best price 💸
COD available all over Nepal 🇳🇵
Order now before stock ends!
#ShoesSale #TrendingShoes #SneakerStyle #BestDeals #FashionNepal",1,0,0,0,2026-04-23 10:53:35+00:00,Visit Stylish sneaker at best price 💸 COD available all over Nepal 🇳🇵 Order now before stock ends! #ShoesSale #TrendingShoes #SneakerStyle #BestDeals #FashionNepal,True,English,Visit Stylish sneaker at best price 💸 COD available all over Nepal 🇳🇵 Order now before stock ends! ShoesSale TrendingShoes SneakerStyle BestDeals FashionNepal,0.0,0.842,0.158,0.6696,Positive,Western/Casual,0.4,0.4
Instagram,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜
Upgrade your office look, outings & gifting style 🎁
🌐 Online-Based | 🚚 All Nepal Home Delivery
📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber)
#LavanyaKicks #LadiesHandbags #WomenHandbags #HandbagsNepal #OnlineShoppingNepal #AllNepalDelivery #DesignerHandbags #PremiumHandbags #HandbagStyle #HandbagCollection #NepalOnlineStore #NepalFashion #WomenOwnedBusiness #ShopOnlineNepal #NepalEcommerce #TrendingInNepal #GiftForHer #OfficeStyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights",1,0,0,0,2026-04-23 09:07:10+00:00,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜 Upgrade your office look, outings & gifting style 🎁 🌐 Online-Based | 🚚 All Nepal Home Delivery 📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber) #LavanyaKicks #LadiesHandbags #WomenHandbags #HandbagsNepal #OnlineShoppingNepal #AllNepalDelivery #DesignerHandbags #PremiumHandbags #HandbagStyle #HandbagCollection #NepalOnlineStore #NepalFashion #WomenOwnedBusiness #ShopOnlineNepal #NepalEcommerce #TrendingInNepal #GiftForHer #OfficeStyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights",True,English,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜 Upgrade your office look, outings & gifting style 🎁 🌐 Online-Based | 🚚 All Nepal Home Delivery 📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber) LavanyaKicks LadiesHandbags WomenHandbags HandbagsNepal OnlineShoppingNepal AllNepalDelivery DesignerHandbags PremiumHandbags HandbagStyle HandbagCollection NepalOnlineStore NepalFashion WomenOwnedBusiness ShopOnlineNepal NepalEcommerce TrendingInNepal GiftForHer OfficeStyle fashionnepal trending2026 fypシ fypviralシ fypageシ fyppage reelsnepal creatorsearchinsights",0.0,0.899,0.101,0.7579,Positive,Formal/Professional,0.4,0.4
Instagram,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#NewJourney #VlogLife #NepaliStyle #OriyaVibes #TravelDiaries",1,0,0,0,2026-04-23 01:14:08+00:00,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#NewJourney #VlogLife #NepaliStyle #OriyaVibes #TravelDiaries",True,Nepali,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨NewJourney VlogLife NepaliStyle OriyaVibes TravelDiaries",0.0,1.0,0.0,0.0,Neutral,General Fashion,0.2,0.4
Instagram,"Picnic-ready vibes ❤️🍓

Stay cute & comfy in this classic gingham shirt ✨
Perfect for sunny days & casual looks 🌿

DM to order 
Delivery all over Nepal 🚚 
Price- Rs 1100 
Color- Red and white 🤍 ♥️ 

#summervibes❤️
#casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle",0,0,0,0,2026-04-22 11:50:36+00:00,Picnic-ready vibes ❤️🍓 Stay cute & comfy in this classic gingham shirt ✨ Perfect for sunny days & casual looks 🌿 DM to order Delivery all over Nepal 🚚 Price- Rs 1100 Color- Red and white 🤍 ♥️ #summervibes❤️ #casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle,True,English,Picnic-ready vibes ❤️🍓 Stay cute & comfy in this classic gingham shirt ✨ Perfect for sunny days & casual looks 🌿 DM to order Delivery all over Nepal 🚚 Price- Rs 1100 Color- Red and white 🤍 ♥️ summervibes❤️ casualstyle ootd fypシ❤️💞❤️ nepalistyle,0.0,0.685,0.315,0.9686,Positive,Western/Casual,0.4,0.0
Instagram,"Straight outta barber’s chair 👹 Khya krew Jatra ready!
#Khya #JatraPro #LocalDrip #BarberShopVibes #NepaliStyle

Get yours from the website khya.store ⭐️ Happy Jatra",151,1,0,0,2026-04-22 06:12:38+00:00,Straight outta barber’s chair 👹 Khya krew Jatra ready! #Khya #JatraPro #LocalDrip #BarberShopVibes #NepaliStyle Get yours from the website khya.store ⭐️ Happy Jatra,True,English,Straight outta barber’s chair 👹 Khya krew Jatra ready! Khya JatraPro LocalDrip BarberShopVibes NepaliStyle Get yours from the website khya.store ⭐️ Happy Jatra,0.0,0.704,0.296,0.8122,Positive,General Fashion,0.4038,60.7
Instagram,"Daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵",61,4,0,0,2026-04-22 03:48:33+00:00,"Daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵",True,English,"Daura, dignity, and legacy 🇳🇵 nepalistyle daurasuruwal🇳🇵",0.0,0.69,0.31,0.4019,Positive,Traditional/Ethnic,0.4022,25.6
Instagram,"The classics never go out of style. 🤍
Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear.
Dress it up. Keep it casual. It works both ways.
🛒 lpmx.com.np | 📲 +977-9808456469
#LPMX #SneakersOfInstagram #RetroVibes #SuedeSneakers #NewRelease #GreySneakers #NepaliStyle #FashionKathmandu #SneakerCollection #EverydayStyle #StreetWearNepal #ShopLocal #TrendingNepal #MensStyle #SneakerCulture",4,0,0,0,2026-04-21 09:54:41+00:00,"The classics never go out of style. 🤍 Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear. Dress it up. Keep it casual. It works both ways. 🛒 lpmx.com.np | 📲 +977-9808456469 #LPMX #SneakersOfInstagram #RetroVibes #SuedeSneakers #NewRelease #GreySneakers #NepaliStyle #FashionKathmandu #SneakerCollection #EverydayStyle #StreetWearNepal #ShopLocal #TrendingNepal #MensStyle #SneakerCulture",True,English,"The classics never go out of style. 🤍 Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear. Dress it up. Keep it casual. It works both ways. 🛒 lpmx.com.np | 📲 +977-9808456469 LPMX SneakersOfInstagram RetroVibes SuedeSneakers NewRelease GreySneakers NepaliStyle FashionKathmandu SneakerCollection EverydayStyle StreetWearNepal ShopLocal TrendingNepal MensStyle SneakerCulture",0.0,0.955,0.045,0.25,Positive,Western/Casual,0.4001,1.6
Instagram,"जीवन पनि बाइक यात्रा जस्तै हो —
कहिले उकालो, कहिले ओरालो,
तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ।
आफ्नो बाटो आफै बनाउँदै छु,
अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु।
धुलो लागेको बाटो होस् या घाम चर्किएको दिन,
मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ।
Style भनेको लुगा होइन,
आफ्नो मेहनत र आत्मविश्वास हो।
Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥
#Lifestyle #RideLife #BikeVibes #DreamChaser #NepaliStyle",0,0,0,0,2026-04-21 04:14:04+00:00,"जीवन पनि बाइक यात्रा जस्तै हो — कहिले उकालो, कहिले ओरालो, तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ। आफ्नो बाटो आफै बनाउँदै छु, अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु। धुलो लागेको बाटो होस् या घाम चर्किएको दिन, मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ। Style भनेको लुगा होइन, आफ्नो मेहनत र आत्मविश्वास हो। Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥 #Lifestyle #RideLife #BikeVibes #DreamChaser #NepaliStyle",True,Nepali,"जीवन पनि बाइक यात्रा जस्तै हो — कहिले उकालो, कहिले ओरालो, तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ। आफ्नो बाटो आफै बनाउँदै छु, अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु। धुलो लागेको बाटो होस् या घाम चर्किएको दिन, मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ। Style भनेको लुगा होइन, आफ्नो मेहनत र आत्मविश्वास हो। Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥 Lifestyle RideLife BikeVibes DreamChaser NepaliStyle",0.035,0.965,0.0,-0.34,Negative,Traditional/Ethnic,0.0,0.0
Instagram,"📸 Madhu

Model: Madhu
@madhu.menu 
———
More photos in Link in bio/Modeling/Madhu
#shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel",51,2,0,0,2026-04-22 20:01:49+00:00,📸 Madhu Model: Madhu .menu ——— More photos in Link in bio/Modeling/Madhu #shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel,True,English,📸 Madhu Model: Madhu .menu ——— More photos in Link in bio/Modeling/Madhu shooting photography photooftheday model modelephoto nepal portraitphotography fashionmodel akorioo portrait portraithut model__in modeling nepaligirls ig_portrait portraitmood portraitpage portrait_planet modelshoot portraitmode modelphotography portrait_vision nepalimodel nepalfashion canonphotography endlessfaces portrait_perfection fashionphotography nepalphotoproject nepalimodel,0.0,1.0,0.0,0.0,Neutral,Western/Casual,0.2016,21.000000000000004
