platform,phase,source,text,likes,comments,shares,views,date,pre_sentiment,age,text_clean,language,fashion_category
Instagram,Phase1,Nepal_Primary,"Summer top collection.
DM to order

#summertopscollection #fashionnepal #summerclothingstore",3,0,0,0,2026-04-23T14:01:02.000Z,,,Summer top collection. DM to order #summertopscollection #fashionnepal #summerclothingstore,English,Western/Casual
Instagram,Phase1,Nepal_Primary,"Visit www.codexalphacollection.com
Stylish sneaker at best price 💸
COD available all over Nepal 🇳🇵
Order now before stock ends!
#ShoesSale #TrendingShoes #SneakerStyle #BestDeals #FashionNepal",1,0,0,0,2026-04-23T10:53:35.000Z,,,Visit Stylish sneaker at best price 💸 COD available all over Nepal 🇳🇵 Order now before stock ends! #ShoesSale #TrendingShoes #SneakerStyle #BestDeals #FashionNepal,English,Western/Casual
Instagram,Phase1,Nepal_Primary,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜
Upgrade your office look, outings & gifting style 🎁
🌐 Online-Based | 🚚 All Nepal Home Delivery
📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber)
#LavanyaKicks #LadiesHandbags #WomenHandbags #HandbagsNepal #OnlineShoppingNepal #AllNepalDelivery #DesignerHandbags #PremiumHandbags #HandbagStyle #HandbagCollection #NepalOnlineStore #NepalFashion #WomenOwnedBusiness #ShopOnlineNepal #NepalEcommerce #TrendingInNepal #GiftForHer #OfficeStyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights",1,0,0,0,2026-04-23T09:07:10.000Z,,,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜 Upgrade your office look, outings & gifting style 🎁 🌐 Online-Based | 🚚 All Nepal Home Delivery 📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber) #LavanyaKicks #LadiesHandbags #WomenHandbags #HandbagsNepal #OnlineShoppingNepal #AllNepalDelivery #DesignerHandbags #PremiumHandbags #HandbagStyle #HandbagCollection #NepalOnlineStore #NepalFashion #WomenOwnedBusiness #ShopOnlineNepal #NepalEcommerce #TrendingInNepal #GiftForHer #OfficeStyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights",English,Formal/Professional
Instagram,Phase1,Nepal_Primary,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#NewJourney #VlogLife #NepaliStyle #OriyaVibes #TravelDiaries",1,0,0,0,2026-04-23T01:14:08.000Z,,,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#NewJourney #VlogLife #NepaliStyle #OriyaVibes #TravelDiaries",Nepali,General Fashion
Instagram,Phase1,Nepal_Primary,"Picnic-ready vibes ❤️🍓

Stay cute & comfy in this classic gingham shirt ✨
Perfect for sunny days & casual looks 🌿

DM to order 
Delivery all over Nepal 🚚 
Price- Rs 1100 
Color- Red and white 🤍 ♥️ 

#summervibes❤️
#casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle",0,0,0,0,2026-04-22T11:50:36.000Z,,,Picnic-ready vibes ❤️🍓 Stay cute & comfy in this classic gingham shirt ✨ Perfect for sunny days & casual looks 🌿 DM to order Delivery all over Nepal 🚚 Price- Rs 1100 Color- Red and white 🤍 ♥️ #summervibes❤️ #casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle,English,Western/Casual
Instagram,Phase1,Nepal_Primary,"Straight outta barber’s chair 👹 Khya krew Jatra ready!
#Khya #JatraPro #LocalDrip #BarberShopVibes #NepaliStyle

Get yours from the website khya.store ⭐️ Happy Jatra",151,1,0,0,2026-04-22T06:12:38.000Z,,,Straight outta barber’s chair 👹 Khya krew Jatra ready! #Khya #JatraPro #LocalDrip #BarberShopVibes #NepaliStyle Get yours from the website khya.store ⭐️ Happy Jatra,English,General Fashion
Instagram,Phase1,Nepal_Primary,"Daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵",61,4,0,0,2026-04-22T03:48:33.000Z,,,"Daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵",English,Traditional/Ethnic
Instagram,Phase1,Nepal_Primary,"The classics never go out of style. 🤍
Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear.
Dress it up. Keep it casual. It works both ways.
🛒 lpmx.com.np | 📲 +977-9808456469
#LPMX #SneakersOfInstagram #RetroVibes #SuedeSneakers #NewRelease #GreySneakers #NepaliStyle #FashionKathmandu #SneakerCollection #EverydayStyle #StreetWearNepal #ShopLocal #TrendingNepal #MensStyle #SneakerCulture",4,0,0,0,2026-04-21T09:54:41.000Z,,,"The classics never go out of style. 🤍 Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear. Dress it up. Keep it casual. It works both ways. 🛒 lpmx.com.np | 📲 +977-9808456469 #LPMX #SneakersOfInstagram #RetroVibes #SuedeSneakers #NewRelease #GreySneakers #NepaliStyle #FashionKathmandu #SneakerCollection #EverydayStyle #StreetWearNepal #ShopLocal #TrendingNepal #MensStyle #SneakerCulture",English,Western/Casual
Instagram,Phase1,Nepal_Primary,"जीवन पनि बाइक यात्रा जस्तै हो —
कहिले उकालो, कहिले ओरालो,
तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ।
आफ्नो बाटो आफै बनाउँदै छु,
अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु।
धुलो लागेको बाटो होस् या घाम चर्किएको दिन,
मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ।
Style भनेको लुगा होइन,
आफ्नो मेहनत र आत्मविश्वास हो।
Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥
#Lifestyle #RideLife #BikeVibes #DreamChaser #NepaliStyle",0,0,0,0,2026-04-21T04:14:04.000Z,,,"जीवन पनि बाइक यात्रा जस्तै हो — कहिले उकालो, कहिले ओरालो, तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ। आफ्नो बाटो आफै बनाउँदै छु, अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु। धुलो लागेको बाटो होस् या घाम चर्किएको दिन, मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ। Style भनेको लुगा होइन, आफ्नो मेहनत र आत्मविश्वास हो। Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥 #Lifestyle #RideLife #BikeVibes #DreamChaser #NepaliStyle",Nepali,General Fashion
Instagram,Phase1,Nepal_Primary,"📸 Madhu

Model: Madhu
@madhu.menu 
———
More photos in Link in bio/Modeling/Madhu
#shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel",51,2,0,0,2026-04-22T20:01:49.000Z,,,📸 Madhu Model: Madhu .menu ——— More photos in Link in bio/Modeling/Madhu #shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel,English,Western/Casual
