platform,phase,text,likes,comments,shares,views,date,text_clean,text_lower,is_fashion,language,fashion_category,engagement_score
Instagram,Phase1,"Summer top collection.
DM to order

#summertopscollection #fashionnepal #summerclothingstore",3,0,0,0,2026-04-23 14:01:02+00:00,Summer top collection. DM to order #summertopscollection #fashionnepal #summerclothingstore,summer top collection. dm to order #summertopscollection #fashionnepal #summerclothingstore,True,English,Western/Casual,0.00011999999999999999
Instagram,Phase1,"Visit www.codexalphacollection.com
Stylish sneaker at best price 💸
COD available all over Nepal 🇳🇵
Order now before stock ends!
#ShoesSale #TrendingShoes #SneakerStyle #BestDeals #FashionNepal",1,0,0,0,2026-04-23 10:53:35+00:00,Visit Stylish sneaker at best price 💸 COD available all over Nepal 🇳🇵 Order now before stock ends! #ShoesSale #TrendingShoes #SneakerStyle #BestDeals #FashionNepal,visit stylish sneaker at best price 💸 cod available all over nepal 🇳🇵 order now before stock ends! #shoessale #trendingshoes #sneakerstyle #bestdeals #fashionnepal,True,English,Western/Casual,4e-05
Instagram,Phase1,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜
Upgrade your office look, outings & gifting style 🎁
🌐 Online-Based | 🚚 All Nepal Home Delivery
📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber)
#LavanyaKicks #LadiesHandbags #WomenHandbags #HandbagsNepal #OnlineShoppingNepal #AllNepalDelivery #DesignerHandbags #PremiumHandbags #HandbagStyle #HandbagCollection #NepalOnlineStore #NepalFashion #WomenOwnedBusiness #ShopOnlineNepal #NepalEcommerce #TrendingInNepal #GiftForHer #OfficeStyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights",1,0,0,0,2026-04-23 09:07:10+00:00,"👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜 Upgrade your office look, outings & gifting style 🎁 🌐 Online-Based | 🚚 All Nepal Home Delivery 📲Orders & Inquiries: 9761763064 | 9816067282 (WhatsApp | Viber) #LavanyaKicks #LadiesHandbags #WomenHandbags #HandbagsNepal #OnlineShoppingNepal #AllNepalDelivery #DesignerHandbags #PremiumHandbags #HandbagStyle #HandbagCollection #NepalOnlineStore #NepalFashion #WomenOwnedBusiness #ShopOnlineNepal #NepalEcommerce #TrendingInNepal #GiftForHer #OfficeStyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights","👜✨ 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗟𝗮𝗱𝗶𝗲𝘀’ 𝗛𝗮𝗻𝗱𝗯𝗮𝗴𝘀 — 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲 𝗚𝘂𝗮𝗿𝗮𝗻𝘁𝗲𝗲 ✨👜 upgrade your office look, outings & gifting style 🎁 🌐 online-based | 🚚 all nepal home delivery 📲orders & inquiries: 9761763064 | 9816067282 (whatsapp | viber) #lavanyakicks #ladieshandbags #womenhandbags #handbagsnepal #onlineshoppingnepal #allnepaldelivery #designerhandbags #premiumhandbags #handbagstyle #handbagcollection #nepalonlinestore #nepalfashion #womenownedbusiness #shoponlinenepal #nepalecommerce #trendinginnepal #giftforher #officestyle #fashionnepal #trending2026 #fypシ #fypviralシ #fypageシ #fyppage #reelsnepal #creatorsearchinsights",True,English,Formal/Professional,4e-05
Instagram,Phase1,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#NewJourney #VlogLife #NepaliStyle #OriyaVibes #TravelDiaries",1,0,0,0,2026-04-23 01:14:08+00:00,"""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#NewJourney #VlogLife #NepaliStyle #OriyaVibes #TravelDiaries","""सबै ठीकठाक चल्दैछ! आजको दिन अलि फरक छ। अर्को यात्रा छिट्टै सुरु हुँदैछ। 🙏✨#newjourney #vloglife #nepalistyle #oriyavibes #traveldiaries",True,Nepali,General Fashion,4e-05
Instagram,Phase1,"Picnic-ready vibes ❤️🍓

Stay cute & comfy in this classic gingham shirt ✨
Perfect for sunny days & casual looks 🌿

DM to order 
Delivery all over Nepal 🚚 
Price- Rs 1100 
Color- Red and white 🤍 ♥️ 

#summervibes❤️
#casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle",0,0,0,0,2026-04-22 11:50:36+00:00,Picnic-ready vibes ❤️🍓 Stay cute & comfy in this classic gingham shirt ✨ Perfect for sunny days & casual looks 🌿 DM to order Delivery all over Nepal 🚚 Price- Rs 1100 Color- Red and white 🤍 ♥️ #summervibes❤️ #casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle,picnic-ready vibes ❤️🍓 stay cute & comfy in this classic gingham shirt ✨ perfect for sunny days & casual looks 🌿 dm to order delivery all over nepal 🚚 price- rs 1100 color- red and white 🤍 ♥️ #summervibes❤️ #casualstyle #ootd #fypシ❤️💞❤️ #nepalistyle,True,English,Western/Casual,0.0
Instagram,Phase1,"Straight outta barber’s chair 👹 Khya krew Jatra ready!
#Khya #JatraPro #LocalDrip #BarberShopVibes #NepaliStyle

Get yours from the website khya.store ⭐️ Happy Jatra",151,1,0,0,2026-04-22 06:12:38+00:00,Straight outta barber’s chair 👹 Khya krew Jatra ready! #Khya #JatraPro #LocalDrip #BarberShopVibes #NepaliStyle Get yours from the website khya.store ⭐️ Happy Jatra,straight outta barber’s chair 👹 khya krew jatra ready! #khya #jatrapro #localdrip #barbershopvibes #nepalistyle get yours from the website khya.store ⭐️ happy jatra,True,English,General Fashion,0.00634
Instagram,Phase1,"Daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵",61,4,0,0,2026-04-22 03:48:33+00:00,"Daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵","daura, dignity, and legacy 🇳🇵 #nepalistyle #daurasuruwal🇳🇵",True,English,Traditional/Ethnic,0.00364
Instagram,Phase1,"The classics never go out of style. 🤍
Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear.
Dress it up. Keep it casual. It works both ways.
🛒 lpmx.com.np | 📲 +977-9808456469
#LPMX #SneakersOfInstagram #RetroVibes #SuedeSneakers #NewRelease #GreySneakers #NepaliStyle #FashionKathmandu #SneakerCollection #EverydayStyle #StreetWearNepal #ShopLocal #TrendingNepal #MensStyle #SneakerCulture",4,0,0,0,2026-04-21 09:54:41+00:00,"The classics never go out of style. 🤍 Introducing the LPMX Retro Runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear. Dress it up. Keep it casual. It works both ways. 🛒 lpmx.com.np | 📲 +977-9808456469 #LPMX #SneakersOfInstagram #RetroVibes #SuedeSneakers #NewRelease #GreySneakers #NepaliStyle #FashionKathmandu #SneakerCollection #EverydayStyle #StreetWearNepal #ShopLocal #TrendingNepal #MensStyle #SneakerCulture","the classics never go out of style. 🤍 introducing the lpmx retro runner — premium grey suede, breathable mesh panels, gum heel stack, and a grippy outsole built for real wear. dress it up. keep it casual. it works both ways. 🛒 lpmx.com.np | 📲 +977-9808456469 #lpmx #sneakersofinstagram #retrovibes #suedesneakers #newrelease #greysneakers #nepalistyle #fashionkathmandu #sneakercollection #everydaystyle #streetwearnepal #shoplocal #trendingnepal #mensstyle #sneakerculture",True,English,Western/Casual,0.00016
Instagram,Phase1,"जीवन पनि बाइक यात्रा जस्तै हो —
कहिले उकालो, कहिले ओरालो,
तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ।
आफ्नो बाटो आफै बनाउँदै छु,
अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु।
धुलो लागेको बाटो होस् या घाम चर्किएको दिन,
मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ।
Style भनेको लुगा होइन,
आफ्नो मेहनत र आत्मविश्वास हो।
Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥
#Lifestyle #RideLife #BikeVibes #DreamChaser #NepaliStyle",0,0,0,0,2026-04-21 04:14:04+00:00,"जीवन पनि बाइक यात्रा जस्तै हो — कहिले उकालो, कहिले ओरालो, तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ। आफ्नो बाटो आफै बनाउँदै छु, अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु। धुलो लागेको बाटो होस् या घाम चर्किएको दिन, मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ। Style भनेको लुगा होइन, आफ्नो मेहनत र आत्मविश्वास हो। Ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥 #Lifestyle #RideLife #BikeVibes #DreamChaser #NepaliStyle","जीवन पनि बाइक यात्रा जस्तै हो — कहिले उकालो, कहिले ओरालो, तर रोकिएन भने गन्तव्य पक्कै भेटिन्छ। आफ्नो बाटो आफै बनाउँदै छु, अरूको गति होइन, आफ्नै सपनाको स्पिडमा हिँडिरहेको छु। धुलो लागेको बाटो होस् या घाम चर्किएको दिन, मनमा हिम्मत छ भने यात्रा सधैं सुन्दर हुन्छ। style भनेको लुगा होइन, आफ्नो मेहनत र आत्मविश्वास हो। ride गर्दै सपना पछ्याउने मान्छे कहिल्यै हार्दैन। 🔥 #lifestyle #ridelife #bikevibes #dreamchaser #nepalistyle",True,Nepali,General Fashion,0.0
Instagram,Phase1,"📸 Madhu

Model: Madhu
@madhu.menu 
———
More photos in Link in bio/Modeling/Madhu
#shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel",51,2,0,0,2026-04-22 20:01:49+00:00,📸 Madhu Model: Madhu .menu ——— More photos in Link in bio/Modeling/Madhu #shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel,📸 madhu model: madhu .menu ——— more photos in link in bio/modeling/madhu #shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel,True,English,Western/Casual,0.00264
