platform,phase,source,text,likes,comments,shares,views,date,pre_sentiment,age,text_clean,language,fashion_category
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,Flattering. I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style. Dresses Dresses,0,0,0,0,,Positive,24.0,Flattering. I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style. Dresses Dresses,English,Formal/Professional
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,Love these pants. These pants are even better in person. the only downside is that they need to be dry cleaned. Bottoms Pants,0,0,0,0,,Positive,21.0,Love these pants. These pants are even better in person. the only downside is that they need to be dry cleaned. Bottoms Pants,English,General Fashion
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,"Soft & lovely. This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!! Tops Fine gauge",0,0,0,0,,Positive,23.0,"Soft & lovely. This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!! Tops Fine gauge",English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,"Pretty, but not for me.... I bought this top online in the burnt orange color and was so excited to get it. when i tried it on, the fit was fine but it just lacked...something. the back was a little bit too long, the front was a little bit too short and it lacked the overall tailored look that i was after. gorgeous fabric and top, but not for me. i wanted something more for $150! bought the velvet tunic instead ;) Tops Blouses",3,0,0,0,,Positive,24.0,"Pretty, but not for me.... I bought this top online in the burnt orange color and was so excited to get it. when i tried it on, the fit was fine but it just lacked...something. the back was a little bit too long, the front was a little bit too short and it lacked the overall tailored look that i was after. gorgeous fabric and top, but not for me. i wanted something more for $150! bought the velvet tunic instead ;) Tops Blouses",English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,nan. nan Tops Knits,0,0,0,0,,Positive,23.0,nan. nan Tops Knits,English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,"Beautifully made, but not versatile. This shirt caught my eye because of how beautiful it was. i love the shape, design, and and the color. it's perfect for spring and summer with some white pants. unfortunately, i don't see any possibilities for this shirt to be worn any other way. so far, it doesn't work with any of my jeans, skirts, or shorts. i usually prefer items with more versatility for outfits, so i'm still on the fence if i'm going to keep it or not. with that aside, it seriously is a great quality shirt with a beautiful Tops Blouses",3,0,0,0,,Positive,23.0,"Beautifully made, but not versatile. This shirt caught my eye because of how beautiful it was. i love the shape, design, and and the color. it's perfect for spring and summer with some white pants. unfortunately, i don't see any possibilities for this shirt to be worn any other way. so far, it doesn't work with any of my jeans, skirts, or shorts. i usually prefer items with more versatility for outfits, so i'm still on the fence if i'm going to keep it or not. with that aside, it seriously is a great quality shirt with a beautiful Tops Blouses",English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,Not a fan. The fabric felt cheap and i didn't find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40. Tops Blouses,9,0,0,0,,Negative,23.0,Not a fan. The fabric felt cheap and i didn't find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40. Tops Blouses,English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,"Perfect fall shirt!. The shirt is exactly as it is pictured, i have the burnt orange color and love it! i received numerous compliments both paired with jeans and tucked into a fun skirt. it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders. i would give this top a 5/5. Tops Blouses",3,0,0,0,,Positive,23.0,"Perfect fall shirt!. The shirt is exactly as it is pictured, i have the burnt orange color and love it! i received numerous compliments both paired with jeans and tucked into a fun skirt. it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders. i would give this top a 5/5. Tops Blouses",English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,"So beautiful! gorgeous orange color!. After reading the previous reviews, i ordered a size larger. i am so glad i did it! it fits perfectly! i am 5'4""/115/32dd and went with the s regular. so beautiful! i can't wait to wear it! Tops Blouses",0,0,0,0,,Positive,24.0,"So beautiful! gorgeous orange color!. After reading the previous reviews, i ordered a size larger. i am so glad i did it! it fits perfectly! i am 5'4""/115/32dd and went with the s regular. so beautiful! i can't wait to wear it! Tops Blouses",English,Western/Casual
Ecommerce_Review,Secondary,Womens_Clothing_Reviews,"nan. I love the color of this skirt, and the fabric is wonderful. it was a bit longer than anticipated, but fit well. Bottoms Skirts",1,0,0,0,,Positive,22.0,"nan. I love the color of this skirt, and the fabric is wonderful. it was a bit longer than anticipated, but fit well. Bottoms Skirts",English,Western/Casual
