"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26"
"Premium Lucknavi chikankari in delicate paisley motifs on finest Banarasi mul chanderi, in an elegant cool beige. Straight silhouette with straight pants, paired with a fully hand-embroidered kurta & dupatta; airy, refined, and effortlessly timeless.
Sizes M available. DM for orders 🤍

#nepalitiktok #kathmandunepal🇳🇵 #nepaliethnicwear #onceuponअthread #nepalifashion","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DXdw2WfDvLq/","1","","9","2026-04-23T07:01:41.000Z",,"nepalitiktok","kathmandunepal🇳🇵","nepaliethnicwear","onceuponअthread","nepalifashion",,,,,,,,,,,,,,,,,,,,,,
"Naya Barsha, Naya Look, Naya Umanga! Step into 2083 B.S.with Ethereal Elegance.

 Happy Nepali New Year 2083 in advance to everyone! 🙏 Naya Barsha ko Yo Subha Awasar ma, Tapailai dherai dherai Suvakamanaharu!
Our Special New Year 2083 Offer: 💥
New Year Discount: Get up to 50% OFF on all new arrivals, including this Peach Kurta Set!
Free Matching Bag: The first 5 orders of this specific kurta will receive the matching, artisanal handbag  for FREE.
Free Shipping: Valid across major cities in Nepal and internationally on orders above NPR 25,000.

#nepalinewyear2083 #fypシ゚  #nepaliethnicwear #Vastramanjari #unfollowers peachkurti handembroidery newyearsale designerwear 
boutiquefashion nepalireels nepalboutique","Vastra Manjari","vastramanjari","https://www.instagram.com/p/DXIi7hrkxpB/","0","","0","2026-04-15T01:15:06.000Z",,"nepalinewyear2083","fypシ゚","nepaliethnicwear","Vastramanjari","unfollowers",,,,,,,,,,,,,,,,,,,,,,
"Naya Barsha, Naya Look, Naya Umanga! Step into 2083 B.S.with Ethereal Elegance.

 Happy Nepali New Year 2083 in advance to everyone! 🙏 Naya Barsha ko Yo Subha Awasar ma, Tapailai dherai dherai Suvakamanaharu!
Our Special New Year 2083 Offer: 💥
New Year Discount: Get up to 50% OFF on all new arrivals, including this Peach Kurta Set!
Free Matching Bag: The first 5 orders of this specific kurta will receive the matching, artisanal handbag  for FREE.
Free Shipping: Valid across major cities in Nepal and internationally on orders above NPR 25,000.

#nepalinewyear2083 #fypシ゚  #nepaliethnicwear #Riteishcreations #unfollowers 

What's your New year 2083Bs wear ?","Riteish Creations","riteishcreations","https://www.instagram.com/p/DXHl7YAlJiI/","1","","0","2026-04-14T16:22:52.000Z",,"nepalinewyear2083","fypシ゚","nepaliethnicwear","Riteishcreations","unfollowers",,,,,,,,,,,,,,,,,,,,,,
"Drape yourself in elegance with this stunning lehenga set✨💙
Perfect for festive days, wedding or making graceful statement anywhere you go.
DM for inquiry 

#missbloombypoojaniroula #traditionalfashion #lehengacholi #nepaliethnicwear #bluelehengacholi","MISSBLOOM by pooja niroula","missbloom8","https://www.instagram.com/p/DVLsILBErQE/","0","","3","2026-02-25T13:31:13.000Z",,"missbloombypoojaniroula","traditionalfashion","lehengacholi","nepaliethnicwear","bluelehengacholi",,,,,,,,,,,,,,,,,,,,,,
"Draped in Nepali culture ♥️
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#newarrivals #viralpost #traditional #nepali #nepaliethnicwear","Anuu","__anugogoi__","https://www.instagram.com/p/DUh-jZMkxar/","16","","-1","2026-02-09T08:44:07.000Z",,"newarrivals","viralpost","traditional","nepali","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,
"Thank You all my beautiful models @kemi.stayler @_dpku_ @pariiii.444 @prishgi @khushikashah @sarub.k for your time. grace and effort. Can't thank enough @namloevents @bikrantphotography @amyshrestha and Team for all the hard work that made this shoot so special ♥️

PS: Special shoutout to my besties
@asmitashrestha1520 @smahat
for all the BTS magic and support✨

#nepaliethnicwear#kurthaset#salwaarkameez#indianwear#saree#desi#clothing#clothingphotography","","zaripahiran","https://www.instagram.com/p/DUbK2WuFbVH/","6","","109","2026-02-06T17:16:52.000Z",,"nepaliethnicwear","kurthaset","salwaarkameez","indianwear","saree","desi","clothing","clothingphotography",,,,,,,,,,,,,,,,,,,
"GURUNG CULTURAL DRESS. I LOVE MY CULTURE AND HERITAGE 

Rooted in tradition, wrapped in grace 🌸
The elegance of Nepali Gurung attire reflects culture, simplicity, and timeless beauty. Proud of my heritage 🇳🇵✨

#GurungTradition #NepaliEthnicWear #CulturalElegance #NepaliRoots #DesiVibes","🇳​🇮​🇸​🇭​🇦​ 🇬​🇺​🇷​🇺​🇳​🇬​","nishamakeover024","https://www.instagram.com/p/DUVHLJGEZKC/","29","","52","2026-02-04T08:49:19.000Z",,"GurungTradition","NepaliEthnicWear","CulturalElegance","NepaliRoots","DesiVibes",,,,,,,,,,,,,,,,,,,,,,
"Mughal Printed Chinon set with teal contrast  intricate embroidery on neckline, dangle on apple silhouette.

Available Size | 38, 40, 42, 44

Wash Care: Dry Clean only 
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DTrqWTZD2KP/","0","","3","2026-01-19T06:28:34.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
"Shimmer Tissue set in pink, with printed accent and beaded work on neckline and central panel.

Available Size | 38, 40, 42(sold), 44

Wash Care: Dry Clean only 
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DTrnoaOD24F/","0","","2","2026-01-19T06:04:50.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
"Shimmer Tissue set in red, with printed accent and beaded work on neckline and central panel.

Available Size | 38, 40(sold), 42, 44

Wash Care: Dry Clean only 
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DTrm6-qD3MS/","0","","1","2026-01-19T05:58:38.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
