"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23"
"🔔👶 Soft Silicone Baby Bell Ring Teether – नानीलाई खुसी र आरामदायक राख्नुहोस्! 💖
हाम्रो Soft Silicone Bell Ring Teether सुरक्षित, Non-Toxic सिलिकनबाट बनेको छ, जसले दाँतको दुखाइ कम गर्न र स्वस्थ दाँत बढाउन सहयोग गर्छ।
🌟 Why Moms Love It:
💛 Safe & Gentle: Soft, BPA-free silicone – perfect for delicate gums
👩‍👧 Fun & Easy to Hold: Cute bell shape for tiny hands to grip & chew
🛒 Promotes healthy teething & keeps baby happy
💬 Order Now: फोन नम्बर र ठेगाना पठाउनुहोस्, वा call/text: 9705335505 / 9763589767
👶 Discover More Baby Products: Follow us on Facebook – New arrivals & offers!
📍 Visit Us: Basundhara, Kathmandu (Next to Om Complex)
#SoftSiliconeTeether #BabyTeether #BellRingTeether #TeethingRelief #SafeBabyProducts #HealthyTeething #BabyComfort #BabyCareEssentials #BabyProductsNepal #OnlineBabyShop #TrendingNepal #ReelsNepalシ #BabyShop #fb #BabyEssentials #Baby #Babygirl #Babyboy","NaniBabu","meronanibabu88","https://www.instagram.com/p/DXopLcZAkwZ/","0","","0","2026-04-27T12:26:12.000Z",,"SoftSiliconeTeether","BabyTeether","BellRingTeether","TeethingRelief","SafeBabyProducts","HealthyTeething","BabyComfort","BabyCareEssentials","BabyProductsNepal","OnlineBabyShop","TrendingNepal","ReelsNepalシ","BabyShop","fb","BabyEssentials","Baby","Babygirl","Babyboy",,,,,,
"मेरो यात्रा नेपाल तिर

 ♥️♥️♥️ #trendingnepal  Krishna Kunwar Shanti Shahi Rekha Chaudhary Ratna B K Samjhana Bhandari Bista Ganesh Kathayat Apsara Rawal Kunwar Himmat Thapa Sushmita Kunwar Singer Arjun Pokhrel Pyuthani Pyuthan Ni Son Sabina Dhami तिम्रो मनकाे राजा Paudel Mandip Kalpana Magar Gita Pokhrel Krishna Prashad Pokhrel Sujan Thapa Govinda Ghimirey Suraz Jøishi Uma Rai Thakur Nepali Prem Thapa Keypchhaki Sanu Maya Amrit Rokaya Arjun Acharya","Arjun Acharya","aacharya75081","https://www.instagram.com/p/DXnZVZrj26I/","0","","1","2026-04-27T00:48:31.000Z",,"trendingnepal",,,,,,,,,,,,,,,,,,,,,,,
"🌾 Lalqilla 507 Gold Basmati Rice 🌾
Sizes: 1kg | 5kg
Buy any 2 ➔ 4% OFF
(This offer is valid only for orders placed directly via Message or Call)
📞 DM or Call to order!
📞 970-2616136
🔗 Order via the link provided
1kg -https://www.daraz.com.np/products/i470069771.html...
5kg-https://www.daraz.com.np/products/i470089279.html...
#Lalqilla #BasmatiRice #PremiumQuality #Hamromart #Kathmandu #KitchenEssentials #RiceLovers #NepalEats #CookingDaily #HealthyLiving #ShopLocalNepal #TrendingNepal #GroceryDeals #FoodieNepal #Lazimpat #KathmanduFoodies #finediningathome","HamroMart.Online","hamromart.online","https://www.instagram.com/p/DXlpZJzFOyy/","0","","0","2026-04-26T08:30:21.000Z",,"Lalqilla","BasmatiRice","PremiumQuality","Hamromart","Kathmandu","KitchenEssentials","RiceLovers","NepalEats","CookingDaily","HealthyLiving","ShopLocalNepal","TrendingNepal","GroceryDeals","FoodieNepal","Lazimpat","KathmanduFoodies","finediningathome",,,,,,,
"🌻 Zade Sunflower Oil 🌻
Pure, light, and healthy—the perfect choice for your daily cooking! 
🎁 Direct Deal:
Buy 2 ➔ 5% OFF
Buy 3+ ➔ 10% OFF
🚀 How to claim:
Order directly via Message or Call to unlock these savings!
📞 DM or Call to order!
📞 970-2616136
🔗 Order via the link provided
1L -https://www.daraz.com.np/products/i477503798.html?spm=Seller_NP.24863640.table_online_product.93.10b92a975fdBgF
2L- https://www.daraz.com.np/products/i477516570.html?spm=Seller_NP.24863640.table_online_product.89.10b92a975fdBgF
#zadeOil #HealthyCooking #Hamromart #Kathmandu #KitchenEssentials #NepalFoodie #HealthyLiving #CookingOil #ShopLocalNepal #TrendingNepal #KathmanduEats #HomeCooking #Wellness #GroceryDeals #HealthyChoices","HamroMart.Online","hamromart.online","https://www.instagram.com/p/DXlomGQlN0w/","0","","1","2026-04-26T08:23:23.000Z",,"zadeOil","HealthyCooking","Hamromart","Kathmandu","KitchenEssentials","NepalFoodie","HealthyLiving","CookingOil","ShopLocalNepal","TrendingNepal","KathmanduEats","HomeCooking","Wellness","GroceryDeals","HealthyChoices",,,,,,,,,
"🥥 Kara Coconut Milk 🥥
Exclusive Direct Deal:
Buy 2 packs → Get 5% OFF! 💸
Buy 3 or more → Get 10% OFF! 💸
👉Rs.852/-1Ltr
👉Rs.354/- 400ml
👉Rs.184/- 200ml
👉 DM us to order now
📞 970-2616136
🔗 Order via the link provided
https://www.daraz.com.np/products/i1515584271.html?spm=Seller_NP.24863640.table_online_product.53.10b92a975fdBgF
🚀 How to claim:
Order directly via Message or Call to unlock these savings!
#KaraCoconutMilk #CookingEssentials #KathmanduEats #Hamromart #NepalFoodie #HealthyCooking #VeganNepal #CoconutMilk #KitchenStaples #ShopLocalNepal #TrendingNepal #KathmanduFoodies #PlantBased #CreamyGoodness #HomeCooking","HamroMart.Online","hamromart.online","https://www.instagram.com/p/DXlnuMCFOIl/","0","","0","2026-04-26T08:15:45.000Z",,"KaraCoconutMilk","CookingEssentials","KathmanduEats","Hamromart","NepalFoodie","HealthyCooking","VeganNepal","CoconutMilk","KitchenStaples","ShopLocalNepal","TrendingNepal","KathmanduFoodies","PlantBased","CreamyGoodness","HomeCooking",,,,,,,,,
"Enjoy the perfect bite with Jabsons Banana Chips! Choose between classic Simply Salted or zesty Black Pepper
Exclusive Direct Deal:
Buy 2 packs → Get 5% OFF! 💸
💰 Only Rs. 385/-
👉 DM us to order now
📞 970-2616136
🔗 Order via the link provided
simply salted 
https://www.daraz.com.np/products/i477216433.html?spm=Seller_NP.24863640.table_online_product.45.10b92a975fdBgF
black pepper-
https://www.daraz.com.np/products/i477226116.html?spm=Seller_NP.24863640.table_online_product.49.10b92a975fdBgF 

🚀 How to claim:
This offer is valid only for orders placed directly via Message or Call.
#JabsonsFoods #BananaChips #KathmanduEats #Hamromart #NepalFoodie #SnackDeals #HealthySnacking #TeaTime #Kathmandu #TrendingNepal #ShopLocal #Crunchy #Namkeen","HamroMart.Online","hamromart.online","https://www.instagram.com/p/DXlmhZElCMO/","0","","0","2026-04-26T08:05:16.000Z",,"JabsonsFoods","BananaChips","KathmanduEats","Hamromart","NepalFoodie","SnackDeals","HealthySnacking","TeaTime","Kathmandu","TrendingNepal","ShopLocal","Crunchy","Namkeen",,,,,,,,,,,
"Direct Order Special Dilmah Nepal:
Buy 2 packs → Get 4% OFF!
Buy 3 or more → Get 5% to 10% OFF!
💰 Only Rs. 385/-
👉 DM us to order now
📞 970-2616136
🔗 Order via the link provided
https://www.daraz.com.np/products/i1515500335.html?spm=Seller_NP.24863640.table_online_product.21.10b92a975fdBgF
🚀 How to claim:
This offer is exclusive to customers who order directly via Message or Call.
#DilmahTea #GreenTea #HealthyDeals #Kathmandu #Hamromart.online #NepalEats #TeaLovers #WellnessJourney #HealthyLifestyle #OnlineShoppingNepal #TrendingNepal #KathmanduFoodies #DetoxTea #TeaTime #ExploreNepal #ShopLocalNepal #GlowUp #HealthIsWealth #OrganicVibes","HamroMart.Online","hamromart.online","https://www.instagram.com/p/DXlldKblPBA/","0","","0","2026-04-26T07:55:57.000Z",,"DilmahTea","GreenTea","HealthyDeals","Kathmandu","Hamromart.online","NepalEats","TeaLovers","WellnessJourney","HealthyLifestyle","OnlineShoppingNepal","TrendingNepal","KathmanduFoodies","DetoxTea","TeaTime","ExploreNepal","ShopLocalNepal","GlowUp","HealthIsWealth","OrganicVibes",,,,,
"Dedication has no off-season 🇳🇵

 #newpost😍 #instanepal #trendingnepal #nepalMultiverse","Yash Thapa🌟❣️💯💥","yash_thapa2003","https://www.instagram.com/p/DXlkYN3jCKX/","2","","26","2026-04-26T07:46:32.000Z",,"newpost😍","instanepal","trendingnepal","nepalMultiverse",,,,,,,,,,,,,,,,,,,,
"#swc #election #kathmanduuniversity #balenvision #trendingnepal","काठमाडौँ विश्वविद्यालय","routineofkumeme","https://www.instagram.com/p/DXk80kXCI-3/","0","","5","2026-04-26T02:00:03.000Z",,"swc","election","kathmanduuniversity","balenvision","trendingnepal",,,,,,,,,,,,,,,,,,,
"Street wear with spirit 🫶Meet our new merch ‘KUMARI’ where casual meets culture 🌸

#kumari #graphicteedrop #nepalistreetfashion","KATHA","katha.clo","https://www.instagram.com/p/DPNxDhGkTea/","7","","87","2025-09-30T05:44:23.000Z",,"kumari","graphicteedrop","nepalistreetfashion",,,,,,,,,,,,,,,,,,,,,
