"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20"
,,,"https://www.instagram.com/explore/tags/nepaliclassootd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/nepalisummerootd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/nepaliwinterootd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/nepalifitcheck",,,,,,,,,,,,,,,,,,,,,,,,,,
"the tailgate tank! made to go with you to tailgates, gameday & the classroom 

#collegegamedaywear #collegeootd 
#girlgamedayoutfit #collegefootball #trendyoutfit","Established & Co. ™","establishedandcompany","https://www.instagram.com/p/DZBbsjaD2DT/","0","","-1","2026-06-01T00:01:23.000Z",,"collegegamedaywear","collegeootd","girlgamedayoutfit","collegefootball","trendyoutfit",,,,,,,,,,,,,,,,
"🎓✨ College Girl Aesthetic on a Budget! 💖

Who says you need to spend thousands to look stylish on campus? 🌸
This trendy college outfit is comfy, classy, and totally Instagram-worthy! 📚☕💕

👜 Chic Tote Bag
👚 Trendy Pink Oversized Shirt
🖤 Stylish Wide-Leg Trousers
👟 Cute Sneakers
💍 Minimal Accessories

💸 Complete Look Under ₹1,200!

✨ Perfect for:
✔️ College Days
✔️ Library Visits
✔️ Coffee Dates
✔️ Casual Hangouts
✔️ Campus Photoshoots

💕 Save this outfit inspiration for your next college look!

#CollegeGirl #CollegeFashion #AestheticOutfit #BudgetFashion #CollegeOOTD [PinkAesthetic FashionInspo StudentStyle AffordableFashion OOTDIndia TrendyLooks CampusStyle FashionReels StyleOnBudget GirlsFashion PinterestInspired FashionFinds OutfitInspiration EverydayStyle TheTrendBasket]","The_trend_basket","ugc_thetrendbasket","https://www.instagram.com/p/DY_O2-Fk3eo/","0","","1","2026-05-31T03:30:53.000Z",,"CollegeGirl","CollegeFashion","AestheticOutfit","BudgetFashion","CollegeOOTD",,,,,,,,,,,,,,,,
"Cal Poly, you absolutely have our hearts. 💚

Cal Poly sunshine looks good on you! ☀️ Repping Alpha Chi Omega loud and proud in this vintage-inspired ringer tank. Paired with classic denim cutoffs and statement sunnies, this is officially the ultimate casual campus uniform. 🌴✨

Tag your Cal Poly bestie in the comments below! 👇

#AlphaChiOmega #AXO #AlphaChi #CalPoly #SanLuisObispo #SLO #CalPolySLO #SororityStyle #CollegeOOTD #RingerTank #RetroAesthetic #CampusStyle #GreekLife #SororityMerch #TheCollegiateLineup","TCL ALPHA CHI OMEGA","tclalphachi","https://www.instagram.com/p/DY-E033j2dh/","0","","5","2026-05-30T16:43:14.000Z",,"AlphaChiOmega","AXO","AlphaChi","CalPoly","SanLuisObispo","SLO","CalPolySLO","SororityStyle","CollegeOOTD","RingerTank","RetroAesthetic","CampusStyle","GreekLife","SororityMerch","TheCollegiateLineup",,,,,,
"🤎🖤 Same top. Two vibes. You pick!
Premium crop zip top styled 2 ways — Beige or Black?
₹799 only ⚡
🚚 Fast Delivery | 💯 Premium Quality
👇 Comment your size + colour to order NOW!
DM us 📩 

#CollegeOOTD #ViralFashion #StyleInspo
#InstagramFashion #BudgetFashionIndia","Lykha","luminousfinds.in","https://www.instagram.com/p/DY94Fn5AYfM/","0","","-1","2026-05-30T14:51:56.000Z",,"CollegeOOTD","ViralFashion","StyleInspo","InstagramFashion","BudgetFashionIndia",,,,,,,,,,,,,,,,
"Golden girls, but make it Alpha Chi. ✨🫶

Solid gold sisterhood. ✨🫶 Living for these matching AXO fits and all the Y2K aesthetic vibes today.

✨ Denim skirt or white floral mini? Let us know how you’d style this top below!

#AlphaChiOmega #AXO #AlphaChi #SororityStyle #CollegeOOTD #RecruitmentReady #BidDayVibes #Y2KAesthetic #MatchingFits #SororityMerch #SisterhoodGoals #CampusStyle #TheCollegiateLineup","TCL ALPHA CHI OMEGA","tclalphachi","https://www.instagram.com/p/DY6qyZOEeIS/","0","","2","2026-05-29T08:57:59.000Z",,"AlphaChiOmega","AXO","AlphaChi","SororityStyle","CollegeOOTD","RecruitmentReady","BidDayVibes","Y2KAesthetic","MatchingFits","SororityMerch","SisterhoodGoals","CampusStyle","TheCollegiateLineup",,,,,,,,
"Cozy, classic, and repping Alpha Chi. 💙

Besties who match together, stay together. 🫶💙 Catch us living in these Alpha Chi lounge sets all semester long. Which striped bottom are you grabbing?

👯‍♀️ Tag your big or little below to drop a hint for your next matching fit! 👇

#AlphaChiOmega #AlphaChi #AXO #SororityStyle #LoungeSets #MatchingSets #Sisterhood #CollegeOOTD #SororityMerch #GreekLife #CozyAesthetic #CampusStyle #TheCollegiateLineup","TCL ALPHA CHI OMEGA","tclalphachi","https://www.instagram.com/p/DY6pq2LEewb/","7","","26","2026-05-29T08:48:13.000Z",,"AlphaChiOmega","AlphaChi","AXO","SororityStyle","LoungeSets","MatchingSets","Sisterhood","CollegeOOTD","SororityMerch","GreekLife","CozyAesthetic","CampusStyle","TheCollegiateLineup",,,,,,,,
"POV: You and the besties in matching Alpha Chi gear. 💖

Ready to design your chapter's perfect group look? 👯‍♀️✨ Look no further! Check out these custom Alpha Chi tops—we’re loving the subtle off-the-shoulder customized cuts paired with varied denim! The real star of the show? These unique colorful patterned letters! Mix and match patterned fills and choose your favorite accessory stack to create a look that’s uniquely you!

What colors would you choose for your custom letters? Drop them below! 👇🌈

#AlphaChiOmega #AXΩ #Greeklife #SororityMerch #SororityFashion #CustomDesign #CollegiateStyle #CampusTrend #Sisterhood #CollegeOOTD #CampusLook #Twinning #CollegiateRep #CustomClothing #GreekStore #TheCollegiateLineup","TCL ALPHA CHI OMEGA","tclalphachi","https://www.instagram.com/p/DY6pcqLkXRS/","0","","3","2026-05-29T08:46:17.000Z",,"AlphaChiOmega","AXΩ","Greeklife","SororityMerch","SororityFashion","CustomDesign","CollegiateStyle","CampusTrend","Sisterhood","CollegeOOTD","CampusLook","Twinning","CollegiateRep","CustomClothing","GreekStore","TheCollegiateLineup",,,,,
"The cherry on top of the perfect Bid Day. 🍒✨

Sweet like Alpha Chi. 🍰🍒 High-key obsessed with how our Spring Bid Day theme turned out! The gingham, the pink and red bows, the giant ΑΧΩ letters... the aesthetic was truly unmatched. 🎀✨ So much love for these girls and this chapter! Tag your favorite cherry in the comments below! 👇

#AlphaChiOmega #AXO #AlphaChi #BidDay2024 #SpringBidDay #SororityBidDay #CherryTheme #SweetLikeAlphaChi #Sisterhood #GreekLife #SororityStyle #BidDayTheme #SororityAesthetic #CollegeOOTD","TCL ALPHA CHI OMEGA","tclalphachi","https://www.instagram.com/p/DY6oTibEUHW/","0","","6","2026-05-29T08:36:18.000Z",,"AlphaChiOmega","AXO","AlphaChi","BidDay2024","SpringBidDay","SororityBidDay","CherryTheme","SweetLikeAlphaChi","Sisterhood","GreekLife","SororityStyle","BidDayTheme","SororityAesthetic","CollegeOOTD",,,,,,,
"Game day, but make it hands-free! ⭐️

Our NEW collegiate phone wristlets are the cutest way to carry your essentials—featuring glossy beads, fun charms, and all the team spirit. 

Just clip it on and be ready for whatever your day has in store! 💖

#collegegameday #collegegifts #giftideas #grad2026 #collegeootd","Fan Glam✨Licensed Collegiate + Sorority Accessories","shopfanglam","https://www.instagram.com/p/DY4lvx_RYbu/","0","","11","2026-05-28T13:36:04.000Z",,"collegegameday","collegegifts","giftideas","grad2026","collegeootd",,,,,,,,,,,,,,,,
"Brb, obsessing over our client’s new college fit 🦋✨

Reminder: Custom designs are available on anything & everything.

#Handpainted #CollegeOOTD #CustomisedAnything #SummerFits #wearableart","Ink & Stroke","_inkandstroke_","https://www.instagram.com/p/DY2ioKCk-zB/","0","","30","2026-05-27T18:29:43.000Z",,"Handpainted","CollegeOOTD","CustomisedAnything","SummerFits","wearableart",,,,,,,,,,,,,,,,
