"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26"
,,,"https://www.instagram.com/explore/tags/नेपालीफ्याशन",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“Sharp fade, sharper attitude 😎”
कंघी से नहीं, fade से पहचान बनती है","Guru Men's Salon","gurusalonkuwait","https://www.instagram.com/p/DM0ZOMhNrJT/","1","","12","2025-08-01T16:12:49.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"कसैलाई हराउन होइन, आफैलाई सुधार्न दौडिरहेको छु।

 #नेपालीस्टाइल #एटिट्युडमोड #स्वागभाइब #गैंगस्टरलुक","Anil Bashyal","anil.bashyal.98","https://www.instagram.com/p/DRcJz3wkWxU/","1","","15","2025-11-24T12:52:54.000Z",,"नेपालीस्टाइल","एटिट्युडमोड","स्वागभाइब","गैंगस्टरलुक",,,,,,,,,,,,,,,,,,,,,,,
"“जीवन भनेको सपनाहरू पूरा गर्ने मात्र होइन, तर हरेक गल्तीबाट सिक्ने यात्रा पनि हो।
🚀🔥 #SelfLove #Motivation #नेपालीस्टाइल","Nitesh Yadav","nite_shy_78","https://www.instagram.com/p/DVGo4FGmc7m/","0","","2","2026-02-23T14:26:43.000Z",,"SelfLove","Motivation","नेपालीस्टाइल",,,,,,,,,,,,,,,,,,,,,,,,
"#b8d9 #नेपालीस्टाइल  Dipendar Magar @highlight Deepak Thapa","Bhagwati Devi","bhabana8d","https://www.instagram.com/p/DB3mrxDNu2B/","0","","9","2024-11-02T12:22:24.000Z",,"b8d9","नेपालीस्टाइल",,,,,,,,,,,,,,,,,,,,,,,,,
"☺️☺️#रमाइलो #नेपाली #नेपालीभाइब्स #नेपालीस्टाइल #नेपालीलाइफ मूडरमाइलो नेपालीरिल नेपालीट्रेंड खुसी आजकोमूडreels trendingreels viralreels instareels reelsvideo 
trendingsong viralvideo explorepage reelitfeelit fyp","it_ rita _@64","__itz_.rita__","https://www.instagram.com/p/DXrklthk1XS/","1","","30","2026-04-28T15:55:24.000Z",,"रमाइलो","नेपाली","नेपालीभाइब्स","नेपालीस्टाइल","नेपालीलाइफ",,,,,,,,,,,,,,,,,,,,,,
"विशेष नेपाली कलेक्सन हेर्नुहोस्।
NEPAL OFFICE NUMBAR 
CALL/ WHATSAPP :-+977 97626 30517

NEPAL ADDRESS :- Blackbull Garment Trading Pvt. Ltd.
New Baneshwor, Indreni Complex,
Third Floor,
New Baneshwor, Kathmandu - 44600

Ajmera Fashion Surat Nepal Numbar India 👇 
🎊Call or WhatsApp - +91 74879 15961
Link : https://wa.link/3lx0go

Surat Nepal Office 👇

📍Ajmera Fashion Limited 
G-1, Ground Floor, Surana 101, Sahara Darwaja,
Ring Road, Surat, Gujarat - 395002
Email -  info@ajmerafashion.com

#नेपालीकलेक्सन #विशेषकपडा #नेपालफेशन #नेपालीस्टाइल #सस्तोसस्तो #ट्रेंडिङकपडा #नेपालमै #NewCollection #NepaliFashion #DarazNepal","Ajmera Fashion Nepal","ajmerafashionnepal","https://www.instagram.com/p/DPlqtjJAUAX/","0","","23","2025-10-09T12:30:00.000Z",,"नेपालीकलेक्सन","विशेषकपडा","नेपालफेशन","नेपालीस्टाइल","सस्तोसस्तो","ट्रेंडिङकपडा","नेपालमै","NewCollection","NepaliFashion","DarazNepal",,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/नेपालीपार्टीलुक्स",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/मिसनेपालस्टाइल",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/तिहारफ्याशन",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/नारीइनसारी",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/ढाकाकपडा",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"मेरो मनपर्ने पहिरन #everyone #nonfollowers #everyonefollowers #fulbuttesari #nepalipahiran @highlight Indu Kc Bil Chhetri","Durga Kumari Kc","smriti.kc.9","https://www.instagram.com/p/DY1LJ6UCmCj/","0","","0","2026-05-27T05:45:33.000Z",,"everyone","nonfollowers","everyonefollowers","fulbuttesari","nepalipahiran",,,,,,,,,,,,,,,,,,,,,,
"✨ Rangin pahiranma Nepali maulikta jhalakine saundarya ✨
Aajako style, paramparako jhalko 💫
DM us for order 📥🛍️
..
..
#kraixa2024 #teejspecial #kraixa #affordable #kurthaset 
#NepaliPahiran #DesiStyle #ParamparagatStyle #RanginShaan #OOTD","Kraixa","kraixa2024","https://www.instagram.com/p/DNDcDjSStOP/","0","","38","2025-08-07T12:27:27.000Z",,"kraixa2024","teejspecial","kraixa","affordable","kurthaset","NepaliPahiran","DesiStyle","ParamparagatStyle","RanginShaan","OOTD",,,,,,,,,,,,,,,,,
"Short Angrakha Kurti designed by me 
This is a Cotton Fabric, we also call it Dhaka ko Kapda, usually made into blouses known as Chaubandi Cholo in our Nepali Community.. 

#kathmandu #nepali #nepalipahiran #nepaligirl #selfdesigned #fashion #ootd #grwm #ethnic #ethnicoutfit #ethnicwear #ethnicdesign","Sudita","sudita__16","https://www.instagram.com/p/CvhACsvheyk/","1","","35","2023-08-04T08:19:02.000Z",,"kathmandu","nepali","nepalipahiran","nepaligirl","selfdesigned","fashion","ootd","grwm","ethnic","ethnicoutfit","ethnicwear","ethnicdesign",,,,,,,,,,,,,,,
"Hamro Gurung Dhee मा पाइन्छ —
बिच्छी बुट्टा, पान बुट्टा, करेला बुट्टा र लुंगी ❤️
हाम्रो पहिचान, हाम्रो संस्कार — पहिरनमै झल्किन्छ 💫
Wholesale र Retail दुबैका लागि उपलब्ध 🌿

संस्कृतिको स्पर्श, शैलीको पहिचान 💫
अर्डर गर्नहोस् आजै — FB | Insta | WhatsApp 9851172104 📱

#HamroGurungDhee
#NepaliPahiran
#TraditionalStyle
#GurungCulture#hamrogurungdhee #foryoupage #instagram #fypシ #réel #facebook #available #anuradhagurung #fb 
#SanskritikoRang","हाम्रो गुरुङ् धीं","hamrogurungdhee","https://www.instagram.com/p/DQjv4Mviqaq/","0","","2","2025-11-02T15:10:17.000Z",,"HamroGurungDhee","NepaliPahiran","TraditionalStyle","GurungCulture","hamrogurungdhee","foryoupage","instagram","fypシ","réel","facebook","available","anuradhagurung","fb","SanskritikoRang",,,,,,,,,,,,,
"For pink lovers 🩷Nepali fashion, handmade with love 🇳🇵💖
Limited pieces – grab yours before it’s gone!
📦 Delivery all over USA | Follow for daily style inspo 👗”
size-38/40/42/44 available #nepalipahiran #smallbusinessusa #outfitinspo #womenfashion #foryou 
….,,,,,,,?,,","@Aura_femme","aura_femme6","https://www.instagram.com/p/DV4OpBQEtRV/","3","","28","2026-03-14T20:43:10.000Z",,"nepalipahiran","smallbusinessusa","outfitinspo","womenfashion","foryou",,,,,,,,,,,,,,,,,,,,,,
"Twinning in tradition ✨
Our lovely client in this vibrant Dhaka coat set – a perfect father-son duo moment!
Handwoven heritage, styled with pride. 💛💙💚

Thank you for choosing AARJU The Creation for your special day!

#DhakaCoat #NepaliFashion #FatherSonTwinning #TraditionalWear #NepaliStyle 
#AarjuTheCreation #HandwovenDhaka #SupportLocal #MadeInNepal #EthnicWear 
#NepaleseCulture #CulturalWear #DhakaLovers #ClientDiaries #TwinningGoals 
#NepaliBrand #NepaliPahiran #LocalBrandNepal #FamilyFashion #NepaliHeritage 
#FestiveLook #ClientLove #CustomMade #TraditionMeetsStyle","Aarju_thefashion boutique","aarju_thecreation","https://www.instagram.com/p/DNCsBjMStFM/","0","","11","2025-08-07T05:26:50.000Z",,"DhakaCoat","NepaliFashion","FatherSonTwinning","TraditionalWear","NepaliStyle","AarjuTheCreation","HandwovenDhaka","SupportLocal","MadeInNepal","EthnicWear","NepaleseCulture","CulturalWear","DhakaLovers","ClientDiaries","TwinningGoals","NepaliBrand","NepaliPahiran","LocalBrandNepal","FamilyFashion","NepaliHeritage","FestiveLook","ClientLove","CustomMade","TraditionMeetsStyle",,,
"#dhakakurthaset #kurtha from size 3 years to size 38.
Dm for price nad sizes. 0412940527. #junecollection🇦🇺 #fyp #nepalipahiran","Preety limbu subba","junecollection.store","https://www.instagram.com/p/DMHRNYcSegx/","3","","5","2025-07-15T03:36:54.000Z",,"dhakakurthaset","kurtha","junecollection🇦🇺","fyp","nepalipahiran",,,,,,,,,,,,,,,,,,,,,,
"Pair our dhaka ko chaubandi with your any saree. 
Btw this chiffon saree is hand painted with cutdana work light and breezy for summer comes with a blouse piece . 

Chaubandi choli size 34 : £28
Saree : £35 

Dm to order 

#fyp #ethnicwear #smallbusiness #southasianfashion #chaubandicholi #nepalipahiran","GULABII🌸🌸","g.gulabii","https://www.instagram.com/p/DJU20trKgBO/","3","","48","2025-05-06T20:46:20.000Z",,"fyp","ethnicwear","smallbusiness","southasianfashion","chaubandicholi","nepalipahiran",,,,,,,,,,,,,,,,,,,,,
"Order now 
Sizes available ✅
Shipping out of Sydney too 
#nepalipahiran","Nepali Pahiran","nepalipahiran__","https://www.instagram.com/p/C35HQFlS2eJ/","2","","24","2024-02-28T13:13:33.000Z",,"nepalipahiran",,,,,,,,,,,,,,,,,,,,,,,,,,
"Size available for 3-4 age group ORDER NOW #limitedstock #beautifullehengacholi #handmadewithlove #traditionalattire #localbusiness #nepalipahiran #nepaliclothing #fypシ #balbalikasansar #kidstraditionalwear 🌸🌸🌸","Kumarkumari_collections","kumarkumari_kollections","https://www.instagram.com/p/CUyl3SQhtn4/","0","","5","2021-10-09T02:08:56.000Z",,"limitedstock","beautifullehengacholi","handmadewithlove","traditionalattire","localbusiness","nepalipahiran","nepaliclothing","fypシ","balbalikasansar","kidstraditionalwear",,,,,,,,,,,,,,,,,
"Traditional Gurung Dress Available at TCC Perth.
#traditionalwear #gurungdress #nepalipahiran #trending #foryou #follower #bardali #menkurthiset #nepalitiktok","TCC Perth (Traditional Clothing Co.)","traditionalclothing.co","https://www.instagram.com/p/DEMKHCGSd3H/","0","","4","2024-12-30T04:59:48.000Z",,"traditionalwear","gurungdress","nepalipahiran","trending","foryou","follower","bardali","menkurthiset","nepalitiktok",,,,,,,,,,,,,,,,,,
"Premium Qwality ❤️#PlazuMalamlciffon❤️
#freesizedress #viralvídeos #1000kveiw❤️ 
#ootd #Dm#9849906351#goviral #online 
#onlineshoping💎 #nepalipahiran #viral 
#delivery #deliveryallovernepal✈️🚘🇳🇵","MILI COLLECTION","milicollection101","https://www.instagram.com/p/DI70ki4TL-v/","0","","4","2025-04-27T03:29:01.000Z",,"PlazuMalamlciffon❤️","freesizedress","viralvídeos","1000kveiw❤️","ootd","Dm","9849906351","goviral","online","onlineshoping💎","nepalipahiran","viral","delivery","deliveryallovernepal✈️🚘🇳🇵",,,,,,,,,,,,,
