"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28"
"Tihar Sale ✨ | Best Quality You Won’t Regret 🌸
COD & Home Delivery 🚚
Includes saree/belt/blousepiece— Grab Yours Now! 🛍️ 
#sareenepal #sareesale #sarisale #sarinepal","🇳🇵CatmandoNepal | Shop #Saree/#Lehenga/#Kurta","catmandofashionsnepal","https://www.instagram.com/p/DPlgwCsk8ZD/","0","","2","2025-10-09T11:04:29.000Z",,"sareenepal","sareesale","sarisale","sarinepal",,,,,,,,,,,,,,,,,,,,,,,,,
"Sari 🥻, pink colour, 1500 Rs. Nepal #sari #sarinepal #nepal #sariktm #sellsari","LajaluOutfits","lajaluoutfits","https://www.instagram.com/p/DS1M9JbgQ_P/","0","","5","2025-12-29T02:54:09.000Z",,"sari","sarinepal","nepal","sariktm","sellsari",,,,,,,,,,,,,,,,,,,,,,,,
"Dm for order♥️

#reels#sarinepal #nepal","Durga Maharjan","durga.maharjan.319","https://www.instagram.com/p/C1pO0bLRYnO/","1","","5","2024-01-03T16:09:16.000Z",,"reels","sarinepal","nepal",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gorgeous Girls in Beautiful Dresses ! Get these kurtas and more with us! New Summer Collection ! ANARKALI Kurtas and Tops Available ! Readymade Blouses Available !
#viral #reels #nepalonlineshopping #readymadeblouse #nepalonlinestore #nepalkurta #kurtanepal #sarinepal #blousenepal","","elegant_designs_kathmandu","https://www.instagram.com/p/DFIRSAWyPSd/","3","","162","2025-01-22T13:16:58.000Z",,"viral","reels","nepalonlineshopping","readymadeblouse","nepalonlinestore","nepalkurta","kurtanepal","sarinepal","blousenepal",,,,,,,,,,,,,,,,,,,,
"Saree not sorry for mixing cultures & serving looks. Indo western set available.✨

🪞DELIVERY ALL OVER NEPAL🪞

#sanskaribyvu #kaftannepal #onlinekurthashopnepal #kurthacollectionnepal #sarinepal #ethinicwear","SANSKARIby.vu","sanskariby.vu","https://www.instagram.com/p/DO6CV_fic1k/","0","","26","2025-09-22T13:56:34.000Z",,"sanskaribyvu","kaftannepal","onlinekurthashopnepal","kurthacollectionnepal","sarinepal","ethinicwear",,,,,,,,,,,,,,,,,,,,,,,
"""🔥 Trending Now 🔥 Beautiful sari to make you shine this season ✨""
📌 Order Now: 9769033277
#SariNepal #FashionNepal #WomenWearNepal #NirusCollection","Niru's Collection","collectionnirus","https://www.instagram.com/p/DN-SMRMCC99/","0","","1","2025-08-30T09:00:42.000Z",,"SariNepal","FashionNepal","WomenWearNepal","NirusCollection",,,,,,,,,,,,,,,,,,,,,,,,,
"Brush paint Saree😍for this teej looks🎀
Colours available.
Delivery available all over nepal

#Sarinarinepal #sarinepal #nepal #fyp #kathmandu","Sarinari.nepal","sarinari.np","https://www.instagram.com/p/C-sA5JWOE8E/","1","","93","2024-08-15T10:48:06.000Z",,"Sarinarinepal","sarinepal","nepal","fyp","kathmandu",,,,,,,,,,,,,,,,,,,,,,,,
"Beautiful sari only at Rs1450 
Blouse piece is attached within it🏵️
Delivery all over Nepal 🇳🇵
.
.
.#sarinepal #onlineshopping #Luga_फाटो","Luga Fato","lugaa_fatoo","https://www.instagram.com/p/C9_YKfToQpJ/","0","","11","2024-07-29T02:46:13.000Z",,"sarinepal","onlineshopping","Luga_फाटो",,,,,,,,,,,,,,,,,,,,,,,,,,
"#kanjiveramsilksaree #onlineshoppingnepal #sarinepal #teejspecial","Reena_collection","thereena_collection","https://www.instagram.com/p/C9zzZDcSfWz/","0","","-1","2024-07-24T14:51:27.000Z",,"kanjiveramsilksaree","onlineshoppingnepal","sarinepal","teejspecial",,,,,,,,,,,,,,,,,,,,,,,,,
"🔥🔥HOTTEST ARRIVAL…🔥🔥
BEAUTIFUL ROSE-PETAL PRINTED SAREE WITH JARI BODER DESIGN. 😍
SOFT FABRIC , ELEGANT DESIGN, SOOTHING COLORS,COMES WITH BLOUSE, 😍
#Fashion #Style #Beauty #Saree #RosePetal #JariBorder #SoftFabric #ElegantDesign #SoothingColors #BlouseIncluded
#sarinepal#fancypartywear","AGANAYA","aganaya_fashion","https://www.instagram.com/p/C8Os1-YtFVS/","7","","1330","2024-06-15T08:30:35.000Z",,"Fashion","Style","Beauty","Saree","RosePetal","JariBorder","SoftFabric","ElegantDesign","SoothingColors","BlouseIncluded","sarinepal","fancypartywear",,,,,,,,,,,,,,,,,
