"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/50256d313972249df32694f31c980ae2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=28083412&x-expires=1777471200&x-signature=C6yxg4xl4EgjPljnFC4wbrJ%2BaV0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","sarinaatruong","HOOOOWWWWW LUCKY AM I 😭😭😭😭 best bday ever feeling incredibly grateful 🌸💗 #birthday #crownsydney ","28600","3057","164900","82","72","เสียงต้นฉบับ - kittikmr","veesun95","true","2026-04-23T09:00:37.000Z","https://www.tiktok.com/@sarinaatruong/video/7631876983529458964"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/137c990c9b2772be428b5e7e07a1c5d6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0b76719f&x-expires=1777471200&x-signature=REh9GVZCYTXOZQ0O%2B0jNX0n35PY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","cchaekkgg","final birthday post hehe!! please check out my girl @lauren 🌟🐈‍⬛ la hairstylist she's too gooddd!! #birthday #birthdaygirl #21 ","1631","31","24400","11","46","Nigth","igor g","false","2026-01-25T04:14:42.000Z","https://www.tiktok.com/@cchaekkgg/video/7599147734402223373"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3130ed2fe0750897d4127fecbce2d6c4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=cbf4d6fa&x-expires=1777471200&x-signature=O1F65O9YadNOq01UG3AyfelUkjc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","rayonigreen","Replying to @Reighn💋🇵🇷 if you’re turning 21 soon… save this 🎂✨ you deserve a birthday that actually feels special. 

#turning21 
#birthday #birthdayidea #fypシ゚viral #fypシ ","930","40","25100","27","74","original sound","Rayoni","true","2026-03-25T02:42:58.000Z","https://www.tiktok.com/@rayonigreen/video/7621018105149459726"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/5225167c9d08b427c23f7cd9bf9a7320~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=22860078&x-expires=1777471200&x-signature=5z%2FlAseSDM6WkqqpFR4VT5VZDLU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","thatoneguycut","Drinking too much on your 21st birthday is like a right of passage. #21stbirthday #turning21 ","15800","860","102900","136","61","original sound","Thatoneguy9","true","2024-11-21T20:13:04.000Z","https://www.tiktok.com/@thatoneguycut/video/7439828153255742763"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/6c00000d381115ed404189fdfe20d258~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=fbd884de&x-expires=1777471200&x-signature=RJAkz%2Bf7PB%2FGqooFiHepsuKyBwU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","gabri3lllllaaa","FU*K BONHAM 🤣

#sanantonio #club #21 #birthday #downtown ","575500","1202","8400000","623","12","Sorry For Party Rocking","LMFAO","false","2025-10-06T17:55:05.000Z","https://www.tiktok.com/@gabri3lllllaaa/video/7558168678324276511"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/21f0ced75dab10665cb31521a01f2a22~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=51d436da&x-expires=1777471200&x-signature=e9KSsXsu4cSSLB%2BxOUs0Nx3PBEM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","edenheathxx","me and ems scrambling for a 21st sound 😩😩 ITS OUR BIRTHDAY @Ems x 👯‍♀️ #birthday #21 ","8872","579","207000","40","15","original sound","Auste 🌬️✨","true","2025-10-17T19:00:17.000Z","https://www.tiktok.com/@edenheathxx/video/7562267517771713814"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9ab5e30d4624b70797930947398cb401~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=db6dcfa3&x-expires=1777471200&x-signature=VvUtA9ZWMm4EgN73%2B5MW2pEV%2B%2BU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","avafeaster2","My boyfriend >>> he came and decorated my ENTIRE apartment while I was at work to surprise me on my birthday 💗 #birthdaygirl #21 #birthday ","286","11","2169","7","12","ribs x for real this time mashup","Lorde Brasil","true","2026-04-22T23:02:45.000Z","https://www.tiktok.com/@avafeaster2/video/7631722833680338190"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/d9d67255a8ac500409838f5e0a322a42~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=65e5c4ac&x-expires=1777471200&x-signature=J8mU1ZWqoqVn%2FLwJWNhxVDEnExE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","laurenstufflebean","I get that it’s a ‘birthday tradition’ but this felt personal 😭🤣 I had just gotten ready to go out.. instead I went home. #birthday #21 #mexicanfood #tradition ","6412","105","268800","64","14","Oh No (Instrumental)","Kreepa","false","2026-03-14T21:05:40.000Z","https://www.tiktok.com/@laurenstufflebean/video/7617220365114199327"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8762ead784472de53ea8c8bf66fe13f1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=4692d9a1&x-expires=1777471200&x-signature=Dqp%2B6ukySZJPxPVva69OoZW4h2A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","di_anka____","21 y.o😻🥹 #heppybirthday #21 #birthdaytomy ","62900","5835","1100000","363","13","оригінальний звук","𝓓𝓲𝓪𝓷𝓪","true","2025-10-11T21:27:41.000Z","https://www.tiktok.com/@di_anka____/video/7560078959489125644"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a25a49cfb6cb959ec8f4deea1f1a847a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=26047ac9&x-expires=1777471200&x-signature=OzTQ67RU0L%2BHRo3vH3i0%2BGUW6vA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","saustinlifts","Getting lit for 21st birthday? ","486","12","16600","24","17","original sound","Austin Whitworth","true","2026-01-21T18:17:07.000Z","https://www.tiktok.com/@saustinlifts/video/7597880530830380301"
