"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a9f43061f4a2e7c02bb8202d946a8725~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=138e6bf0&x-expires=1780560000&x-signature=wMkdKP335GGNOgGBF%2F1Njm%2FolWs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","unique_collection__","","29100","5020","1200000","1243","220","original sound","Unique Collection,Jadibuti Ktm","true","2026-05-28T10:37:57.000Z","https://www.tiktok.com/@unique_collection__/video/7644890059031727368"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2d3ac3f2287eeee0bd0402b1ba37c7ca~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e41ff9e3&x-expires=1780560000&x-signature=xioT7ONL6FyPBc9Etud3a6liiBI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","chavi_np","Delivery all over Nepal #fyppppppppppppppppppppppp #foryou ","1262","270","48800","0","34","Chameli","Ekdev Limbu","false","2026-05-19T06:24:13.000Z","https://www.tiktok.com/@chavi_np/video/7641484883742838034"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/eb0a23c450c83e060efcbe883ca1db8f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1eb4e86b&x-expires=1780560000&x-signature=RZrzEZ4TWS6OOHYt8DtUxC4nPAc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","pokhra51","delivery all over Nepal #viral?videotiktok😇😇 #viral #foryoupage #odernow ","177","4","7163","7","21","SAIYAA","Maniya & Anand 07","false","2026-05-25T12:22:40.000Z","https://www.tiktok.com/@pokhra51/video/7643803783423741205"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6cb30cccbd1f34599aa97cb7e565c42e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e71dce75&x-expires=1780560000&x-signature=Gp7sy0mGgiO1nShuWkOZKrUzqWg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","rachubkashneupane","#deliveryallovernepal🇳🇵✈️🚌 #biratnagarthakuribadiroad #newshivamjewellers #unfrezzmyaccount #orderinwstapp9816993662 @Rachu Bhetwal ","1620","83","32000","23","15","original sound - Music Clips 🇳🇵","Mandira_forever","true","2026-05-06T06:42:44.000Z","https://www.tiktok.com/@rachubkashneupane/video/7636665562919079175"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e24d1176f451b2c0115dc5dfb589cc99~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6817de6d&x-expires=1780560000&x-signature=RA1GUBxXLQoq57Wg9genYMgc2us%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","omsareecentre","#omsareecentre #whatapp9763545906 ","1222","65","57900","7","18","original sound","𝟿𝟶s 𝐒ᴏɴɢs","true","2026-05-25T09:24:04.000Z","https://www.tiktok.com/@omsareecentre/video/7643757743593098517"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c922ba3fb100153ec2e6b8283b5f480f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b8ff1133&x-expires=1780560000&x-signature=nwpoHQOjJJcVfaM8k9UZ8BGHrdY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","aerolink.usa","#AerolinkUSA #fyp #CourierWithCare #USAToNepal #NepalToUSA ","16","31","2520","3","11","Camouflage","Milky Chance","false","2025-11-12T13:26:03.000Z","https://www.tiktok.com/@aerolink.usa/video/7571829559671147789"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c922ba3fb100153ec2e6b8283b5f480f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b8ff1133&x-expires=1780560000&x-signature=nwpoHQOjJJcVfaM8k9UZ8BGHrdY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","aerolink.usa","#aerlinkusa #nepalitiktok #viralvideo ","8","19","1618","0","7","Daydreams","Michael Kaneko","false","2025-09-28T08:37:53.000Z","https://www.tiktok.com/@aerolink.usa/video/7555056278050016543"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/28aa3281feeed74c37da876d089debb6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=16b61c87&x-expires=1780560000&x-signature=IN8%2Fj%2B2FOP5SBQu9MKl8oyLNnlY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","kanyafashion1","#creatorsearchinsights #homedeliveryavailable🚚allovernepal🛍️🛍️ #foryoupageofficiall❤️❤️tiktoklover❤️ ","7359","1180","284000","70","49","original sound","Kanya fashions","true","2026-05-19T23:24:05.000Z","https://www.tiktok.com/@kanyafashion1/video/7641747704355261717"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2f246ac9a4704932dff6544dd53adad5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=07b0d107&x-expires=1780560000&x-signature=GDDJYmu%2BZCtxKxBlNC7uRY9kNDM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","nayancollection","Combosetonly 750 #deliveryaloverNepal ","26300","4941","584800","318","64","original sound","Preety girl🥰🥰","true","2026-05-27T13:14:14.000Z","https://www.tiktok.com/@nayancollection/video/7644559233265978644"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c922ba3fb100153ec2e6b8283b5f480f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b8ff1133&x-expires=1780560000&x-signature=nwpoHQOjJJcVfaM8k9UZ8BGHrdY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","aerolink.usa","#aerolinkusa #usanepalcourier #fyp ","10","8","1213","1","6","I Run","HAVEN. & Kaitlin Aragon","false","2026-01-20T14:09:04.000Z","https://www.tiktok.com/@aerolink.usa/video/7597445408075287839"
